,Unnamed: 0,img_path,img_label,img_id
0,9444,/home/jjeong35/test_data/coloredMNIST/train/7_9444.png,7,9444
1,29392,/home/jjeong35/test_data/coloredMNIST/train/6_29392.png,6,29392
2,15926,/home/jjeong35/test_data/coloredMNIST/train/0_15926.png,0,15926
3,26820,/home/jjeong35/test_data/coloredMNIST/train/0_26820.png,0,26820
4,49534,/home/jjeong35/test_data/coloredMNIST/train/1_49534.png,1,49534
5,31056,/home/jjeong35/test_data/coloredMNIST/train/2_31056.png,2,31056
6,35028,/home/jjeong35/test_data/coloredMNIST/train/0_35028.png,0,35028
7,40215,/home/jjeong35/test_data/coloredMNIST/train/9_40215.png,9,40215
8,8686,/home/jjeong35/test_data/coloredMNIST/train/8_8686.png,8,8686
9,33462,/home/jjeong35/test_data/coloredMNIST/train/1_33462.png,1,33462
10,18146,/home/jjeong35/test_data/coloredMNIST/train/9_18146.png,9,18146
11,24543,/home/jjeong35/test_data/coloredMNIST/train/4_24543.png,4,24543
12,757,/home/jjeong35/test_data/coloredMNIST/train/5_757.png,5,757
13,27953,/home/jjeong35/test_data/coloredMNIST/train/9_27953.png,9,27953
14,34606,/home/jjeong35/test_data/coloredMNIST/train/2_34606.png,2,34606
15,50149,/home/jjeong35/test_data/coloredMNIST/train/4_50149.png,4,50149
16,18651,/home/jjeong35/test_data/coloredMNIST/train/2_18651.png,2,18651
17,23579,/home/jjeong35/test_data/coloredMNIST/train/0_23579.png,0,23579
18,19559,/home/jjeong35/test_data/coloredMNIST/train/6_19559.png,6,19559
19,29520,/home/jjeong35/test_data/coloredMNIST/train/0_29520.png,0,29520
20,16912,/home/jjeong35/test_data/coloredMNIST/train/4_16912.png,4,16912
21,55322,/home/jjeong35/test_data/coloredMNIST/train/5_55322.png,5,55322
22,46706,/home/jjeong35/test_data/coloredMNIST/train/9_46706.png,9,46706
23,25511,/home/jjeong35/test_data/coloredMNIST/train/7_25511.png,7,25511
24,8604,/home/jjeong35/test_data/coloredMNIST/train/7_8604.png,7,8604
25,23042,/home/jjeong35/test_data/coloredMNIST/train/9_23042.png,9,23042
26,51298,/home/jjeong35/test_data/coloredMNIST/train/5_51298.png,5,51298
27,35675,/home/jjeong35/test_data/coloredMNIST/train/7_35675.png,7,35675
28,15772,/home/jjeong35/test_data/coloredMNIST/train/8_15772.png,8,15772
29,52403,/home/jjeong35/test_data/coloredMNIST/train/2_52403.png,2,52403
30,30849,/home/jjeong35/test_data/coloredMNIST/train/0_30849.png,0,30849
31,49594,/home/jjeong35/test_data/coloredMNIST/train/0_49594.png,0,49594
